id,isDefault,probability_score
1000575,0,0.0071827738692683525
1028125,0,0.009214026299690717
1010694,0,0.0033043236006770884
1026712,0,0.008577123478081929
1002895,0,0.00439114372915979
1023930,0,0.2977913806136514
1031202,0,0.036378001021717156
1041065,0,0.005074934869535382
1037799,0,0.00853487981011362
1036385,0,0.00934948516418683
1028640,0,0.21548833933693484
1046198,0,0.009274670637199882
1005902,0,0.014547435471315621
1001958,0,0.00693021255743267
1021171,0,0.023692794907449004
1018693,0,0.012630617277332303
1046881,0,0.011632105182290454
1008394,1,0.7675721978327755
1039986,0,0.27605888176287946
1028449,1,0.7472152105243333
1037670,0,0.008080012927707986
1030356,0,0.03487707520224688
1047759,0,0.21671141085395274
1033422,0,0.004501871656259668
1041457,0,0.010452976312496018
1047669,0,0.4728862876305974
1013635,0,0.006154977842320165
1009911,0,0.004888112374536309
1026052,0,0.024088741700797566
1013010,0,0.0035103764276267395
1000541,0,0.01968698608447359
1023933,0,0.005078672070671803
1017173,0,0.01284848543402188
1010278,0,0.029989641060388143
1042322,0,0.02383410329736723
1035083,0,0.011403777966093412
1017136,0,0.01853892396092222
1008825,0,0.010182652349158782
1035744,0,0.16446650378054792
1019544,1,0.5095045926797098
1019583,0,0.4479140400132166
1015244,0,0.004208349239177789
1001057,0,0.0065348135085144116
1018597,0,0.010715694026009527
1036106,0,0.386656891918058
1021590,0,8.028540565780691e-05
1028479,0,0.47465552951391315
1022178,0,0.17708100512102848
1021768,0,0.009151193465141838
1044905,0,0.015836973960185036
1018188,0,0.009841158886243167
1034782,0,0.07379261898097984
1043358,1,0.5192978804397299
1012386,0,0.010182825630784131
1019710,0,0.39649006600359127
1003882,0,0.012800815637291126
1041743,0,0.019897147247139854
1045699,0,0.3314397353553906
1023722,0,0.1836077504238262
1005903,0,0.3676341424424374
1032382,0,0.2092970426025561
1032769,0,0.013166142982584124
1016556,0,0.025622558676989468
1018606,0,0.018526632248522575
1034996,0,0.004917083009619333
1030041,0,5.7467026073688324e-05
1034236,0,0.45346578411827193
1027554,0,0.10402999491282451
1005162,0,0.16349118575783536
1011175,0,0.05364828804839651
1033902,0,0.31265383956813664
1014356,0,0.39249350618386836
1045176,1,0.5842442235643337
1048152,0,0.13411878691255846
1026600,0,0.01960563795724795
1046111,0,0.3542288132939544
1010478,0,0.0030451013194120833
1019200,0,0.0030238814689655313
1030818,0,0.010351091942512042
1041083,0,0.036550784185250366
1020605,0,0.00534263175218602
1020932,1,0.6501714451038821
